,survived,pclass,sex,age_passenger,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,name,country,population,age_city,_merge
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,Cherbourg,France,37121.0,793.0,both
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,Queenstown,United Kingdom,12347.0,870.0,both
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,,,,,left_only
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,Queenstown,United Kingdom,12347.0,870.0,both
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,Queenstown,United Kingdom,12347.0,870.0,both
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,Queenstown,United Kingdom,12347.0,870.0,both
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
128,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
140,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,Queenstown,United Kingdom,12347.0,870.0,both
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,Cherbourg,France,37121.0,793.0,both
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,Queenstown,United Kingdom,12347.0,870.0,both
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
180,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
186,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,Queenstown,United Kingdom,12347.0,870.0,both
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,Queenstown,United Kingdom,12347.0,870.0,both
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,Southampton,United Kingdom,236900.0,887.0,both
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,Cherbourg,France,37121.0,793.0,both
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,Cherbourg,France,37121.0,793.0,both
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,Queenstown,United Kingdom,12347.0,870.0,both
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,Cherbourg,France,37121.0,793.0,both
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,Cherbourg,France,37121.0,793.0,both
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,Queenstown,United Kingdom,12347.0,870.0,both
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,Cherbourg,France,37121.0,793.0,both
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
214,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,Queenstown,United Kingdom,12347.0,870.0,both
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,Cherbourg,France,37121.0,793.0,both
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,Southampton,United Kingdom,236900.0,887.0,both
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,Cherbourg,France,37121.0,793.0,both
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,Southampton,United Kingdom,236900.0,887.0,both
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,Southampton,United Kingdom,236900.0,887.0,both
